overlay_id,ram_address,ram_size,bss_size,static_init_start,static_init_end,file_id,flags,file_start,file_end,file_size
0,35484896,32,0,35484896,35484900,0,0,1098752,1098784,32
1,35484896,32,32,35484912,35484920,1,0,1099264,1099296,32
2,35484960,32,0,35484960,35484964,2,0,1099776,1099808,32
3,33523456,32,0,33523456,33523460,3,0,1100288,1100320,32
4,35484896,231136,8864,35700372,35700376,4,0,1100800,1331936,231136
5,35484896,156064,245792,35639752,35639756,5,0,1332224,1488288,156064
6,35886752,101760,32,35988020,35988024,6,0,1488384,1590144,101760
7,35724896,13024,0,35737908,35737912,7,0,1590272,1603296,13024
8,35724896,112480,0,35837336,35837340,8,0,1603584,1716064,112480
9,35724896,41376,0,35766248,35766252,9,0,1716224,1757600,41376
10,35484896,32,0,35484896,35484900,10,0,1757696,1757728,32
11,35837376,207328,0,36044568,36044576,11,0,1758208,1965536,207328
12,35837376,103008,0,35940368,35940376,12,0,1965568,2068576,103008
13,35724896,191456,10208,35911528,35911532,13,0,2068992,2260448,191456
14,35484896,62752,416,35547592,35547596,14,0,2260480,2323232,62752
15,35484896,18048,0,35502940,35502944,15,0,2323456,2341504,18048
16,35484896,165120,0,35649988,35649992,16,0,2341888,2507008,165120
17,35484896,28288,0,35513172,35513176,17,0,2507264,2535552,28288
18,35886752,97504,128,35981400,35981404,18,0,2535936,2633440,97504
19,35988544,256,0,35988772,35988776,19,0,2633728,2633984,256
20,35988544,9216,0,35997752,35997756,20,0,2634240,2643456,9216
21,35997760,1472,0,35999208,35999216,21,0,2643456,2644928,1472
22,35997760,3840,0,36001584,36001592,22,0,2644992,2648832,3840
23,35997760,6400,0,36004136,36004144,23,0,2649088,2655488,6400
24,35997760,2464,0,36000192,36000200,24,0,2655744,2658208,2464
25,35997760,1376,0,35999104,35999112,25,0,2658304,2659680,1376
26,35997760,2048,0,35999776,35999784,26,0,2659840,2661888,2048
27,35997760,2976,0,36000708,36000716,27,0,2661888,2664864,2976
28,35997760,6016,0,36003608,36003616,28,0,2664960,2670976,6016
29,35997760,2304,0,36000044,36000052,29,0,2671104,2673408,2304
30,35997760,1536,0,35999272,35999280,30,0,2673664,2675200,1536
31,35997760,1536,0,35999264,35999272,31,0,2675200,2676736,1536
